Alloy_name,phases,Hardness,Al,Co,Cr,Cu,Fe,Mn,Ni,V,Nb
Al44.5Co22Cr19.5Cu2.5Fe6.5Ni5,unk,851.5,44.5,22,19.5,2.5,6.5,0,5,0,0
Al7Co23.3Cr23.3Fe23.3Ni23.3,unk,117,7,23.3,23.3,0,23.3,0,23.3,0,0
Al13Co21.7Cr21.7Fe21.7Ni21.7,unk,228,13,21.7,21.7,0,21.7,0,21.7,0,0
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,unk,458,16.7,16.7,16.7,16.7,16.7,0,16.7,0,0
Al33.3Co16.7Cr16.7Fe16.7Ni16.7,unk,581.7,33.3,16.7,16.7,0,16.7,0,16.7,0,0
Al22.2Co22.2Cu22.2Fe22.2Ni11.1,unk,430.9,22.2,22.2,0,22.2,22.2,0,11.1,0,0
Al20.8Co20.8Cu20.8Fe20.8Ni16.7,unk,420,20.8,20.8,0,20.8,20.8,0,16.7,0,0
Al18.2Co18.2Cu18.2Fe18.2Ni27.3,unk,323.8,18.2,18.2,0,18.2,18.2,0,27.3,0,0
Al16.7Co16.7Cu16.7Fe16.7Ni33.3,unk,299.2,16.7,16.7,0,16.7,16.7,0,33.3,0,0
Al14.3Co14.3Cu14.3Fe14.3Ni42.9,unk,279.6,14.3,14.3,0,14.3,14.3,0,42.9,0,0
Al18Co30Cr10Fe10Ni32,unk,305.4,18,30,10,0,10,0,32,0,0
Co20Cr20Cu20Fe20Ni20,unk,494,0,20,20,20,20,0,20,0,0
